DIR,YAML_FULL_PATH,WITHIN_MANIFEST_SECRET,VALID_TAINT_SECRET,SEC_CONT_OVER_PRIVIL,INSECURE_HTTP,NO_SECU_CONTEXT,NO_DEFAULT_NSPACE,NO_RESO,NO_ROLLING_UPDATE,NO_NETWORK_POLICY,TRUE_HOST_PID,TRUE_HOST_IPC,DOCKERSOCK_PATH,TRUE_HOST_NET,CAP_SYS_ADMIN,HOST_ALIAS,ALLOW_PRIVI,SECCOMP_UNCONFINED,CAP_SYS_MODULE,K8S_STATUS,HELM_STATUS
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/tp_secu_context_miss.yaml,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/k8s.doc.network.yaml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/fp.http.yaml,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/tp.default.nspace.yaml,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/fp.no.reso3.yaml,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/present.default.ksql.yaml,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/empty.yml,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/bakis.rs.yaml,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/cap-module-ostk.yaml,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/host-net-tp.yaml,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,True,False
